Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹)
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0 KM,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0 KM,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0 KM,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0 KM,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0 KM,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000
Maruti Suzuki Eeco (2019),5 Seater AC,PETROL,17000.0 KM,MANUAL,1st Owner,"Rajarampuri, Kolhapur",01-27-2022,475000
Maruti Suzuki Eeco (2019),5 Seater AC,PETROL,17000.0 KM,MANUAL,1st Owner,"Rajarampuri, Kolhapur",01-27-2022,475000
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0 KM,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000
Maruti Suzuki Zen (2006),VXI,PETROL,"95,000 KM",MANUAL,3rd Owner,"Muvattupuzha, Muvattupuzha",01-27-2022,110000
Maruti Suzuki Estilo (2010),LXI,PETROL,"18,250 KM",MANUAL,3rd Owner,"Barackpore, Kolkata",01-27-2022,180000
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0 KM,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0 KM,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000
Maruti Suzuki Zen (2006),VXI,PETROL,"95,000 KM",MANUAL,3rd Owner,"Muvattupuzha, Muvattupuzha",01-27-2022,110000
Maruti Suzuki Estilo (2010),LXI,PETROL,"18,250 KM",MANUAL,3rd Owner,"Barackpore, Kolkata",01-27-2022,180000
Maruti Suzuki Swift Dzire (2014),VDI,DIESEL,"60,000 KM",MANUAL,1st Owner,"Brahmsthan, Azamgarh",01-27-2022,400000
Maruti Suzuki Swift Dzire (2014),VDI,DIESEL,"60,000 KM",MANUAL,1st Owner,"Brahmsthan, Azamgarh",01-27-2022,400000
Maruti Suzuki Wagon R Duo (2018),Others,CNG & HYBRIDS,55000.0 KM,MANUAL,1st Owner,"Dahisar East, Mumbai",01-27-2022,465000
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0 KM,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0 KM,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000
Maruti Suzuki Swift (2010),2004-2010 Lxi BSIII,PETROL,120000 KM,MANUAL,Second Owner,"Shashtri Nagar, Delhi",Delhi,200000
Maruti Suzuki 800 (1998),Duo AC LPG,PETROL,"60,000 KM",MANUAL,4+ Owner,"Gokul Nagar, Udaipur",01-27-2022,35000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Volkswagen Vento (2012),1.6 Highline,DIESEL,"145,000 KM",MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000
Tata Bolt (2015),Quadrajet XM,DIESEL,85000.0 KM,MANUAL,2nd Owner,"Parasakthi Colony, Sivakasi",01-27-2022,350000
Nissan Sunny (2012),Diesel XV,DIESEL,"135,000 KM",MANUAL,2nd Owner,"Baavi, Medarametla",01-27-2022,380000
Ford Fiesta (2013),1.5 TDCi Titanium,DIESEL,64000.0 KM,MANUAL,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000
Ford Fiesta (2013),1.5 TDCi Titanium,DIESEL,64000.0 KM,MANUAL,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000
Maruti Suzuki Swift (2009),2004-2010 Ldi BSIV,DIESEL,"200,000 KM",MANUAL,1st Owner,"Drivers Colony, Bhadrachalam",01-27-2022,175000
Toyota Innova (2007),2.5 EV Diesel MS 8 Str BSIII,DIESEL,"185,000 KM",MANUAL,2nd Owner,"Dabeerpura, Hyderabad",01-27-2022,400000
Toyota Innova (2007),2.5 EV Diesel MS 8 Str BSIII,DIESEL,"185,000 KM",MANUAL,2nd Owner,"Dabeerpura, Hyderabad",01-27-2022,400000
Tata Bolt (2015),Quadrajet XM,DIESEL,85000.0 KM,MANUAL,2nd Owner,"Parasakthi Colony, Sivakasi",01-27-2022,350000
Audi A6 (2014),2.0 TDI,DIESEL,89000.0 KM,AUTOMATIC,1st Owner,"Tidke Nagar, Nashik",01-27-2022,1600000
Honda Amaze (2013),1.5 V CVT ( I-DTEC) Manual,PETROL,"88,800 KM",MANUAL,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,315000
Honda Amaze (2013),1.5 V CVT ( I-DTEC) Manual,PETROL,"88,800 KM",MANUAL,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,315000
Maruti Suzuki Others (2021),,CNG & HYBRIDS,"5,000 KM",MANUAL,1st Owner,"Umiya Nagar, Nadiad",01-27-2022,645000
Maruti Suzuki Alto 800 (2017),LXI,PETROL,4000.0 KM,MANUAL,1st Owner,"Golpark, Kolkata",01-27-2022,280000
